order_date,order_year,order_month,day_number,order_quarter,order_week,order_month_period,order_quarter_period,week_number_yearly,week_number_monthly,weekday_name,weekday_number,is_weekday,is_payday,customer_type,vendor_code,unique_order_count,total_order_items,order_total_value_DKK,order_current_value_DKK,return_rate,order_total_AOV,order_current_AOV,avg_order_items
2022-06-10,2022,6,10,2,23,2022-06,2022Q2,24,2,Friday,5,Weekday,Non-Payday,Existing customer,US,1,2,8038.7999999999993,8038.7999999999993,0,8038.7999999999993,8038.7999999999993,2
2022-06-10,2022,6,10,2,23,2022-06,2022Q2,24,2,Friday,5,Weekday,Non-Payday,New customer,COM,19,69,63096.6054,63096.6054,0,3320.8739684210527,3320.8739684210527,3.6315789473684212
2022-06-10,2022,6,10,2,23,2022-06,2022Q2,24,2,Friday,5,Weekday,Non-Payday,New customer,DE,8,43,22320.5438,21913.0786,0.018255164553831287,2790.067975,2739.134825,5.375
2022-06-10,2022,6,10,2,23,2022-06,2022Q2,24,2,Friday,5,Weekday,Non-Payday,New customer,DK,3,4,1313.32,1313.32,0,437.77333333333331,437.77333333333331,1.3333333333333333
2022-06-10,2022,6,10,2,23,2022-06,2022Q2,24,2,Friday,5,Weekday,Non-Payday,New customer,US,13,35,33234.894,33103.224,0.0039617999082530025,2556.5303076923078,2546.4018461538462,2.6923076923076925
2022-06-11,2022,6,11,2,23,2022-06,2022Q2,24,2,Saturday,6,Weekend,Non-Payday,New customer,COM,14,42,43840.4804,43840.4804,0,3131.4628857142857,3131.4628857142857,3
2022-06-11,2022,6,11,2,23,2022-06,2022Q2,24,2,Saturday,6,Weekend,Non-Payday,New customer,DE,6,12,13195.3972,13195.3972,0,2199.2328666666667,2199.2328666666667,2
2022-06-11,2022,6,11,2,23,2022-06,2022Q2,24,2,Saturday,6,Weekend,Non-Payday,New customer,DK,6,7,4739.2,4739.2,0,789.86666666666667,789.86666666666667,1.1666666666666667
2022-06-11,2022,6,11,2,23,2022-06,2022Q2,24,2,Saturday,6,Weekend,Non-Payday,New customer,US,6,21,16029.09,8995.14,0.438824038045828,2671.515,1499.1899999999998,3.5
2022-06-12,2022,6,12,2,23,2022-06,2022Q2,24,2,Sunday,7,Weekend,Non-Payday,New customer,COM,26,84,51022.9684,51022.9684,0,1962.4218615384614,1962.4218615384614,3.2307692307692308
2022-06-12,2022,6,12,2,23,2022-06,2022Q2,24,2,Sunday,7,Weekend,Non-Payday,New customer,DE,10,22,17060.647,16693.9134,0.021495878790528843,1706.0647000000001,1669.3913400000001,2.2
